recruiment_id,user_id,title_aspect,desc_aspect,company_aspect,poster_aspect,other_aspect,label,explanation
68862748,4,positive,positive,positive,neutral,positive,clean,Các thông tin về mô tả công việc đầy đủ.
68169288,4,positive,positive,positive,neutral,positive,clean,"Thông tin đầy đủ, người đăng tin được xác thực."
64679984,4,negative,negative,negative,neutral,positive,warning,"Tiêu đề chứa từ ngữ hối thúc, mức lương đề cập chưa rõ ràng và thống nhất."
68855018,4,positive,negative,positive,not_mentioned,positive,clean,tin tuyển dụng đầy đủ thông tin.
68455421,4,positive,negative,negative,neutral,negative,warning,"Tin tuyển dụng chưa đề cập đến mức lương, công ty chưa rõ ràng."
68815340,4,positive,positive,negative,not_mentioned,positive,seeding,Du lịch không phải là một loại quyền lợi.
68764900,4,not_mentioned,positive,not_mentioned,neutral,negative,warning,"Chưa có thời gian làm việc, mức lương cụ thể, công ty chưa rõ ràng."
64726806,4,negative,positive,negative,not_mentioned,positive,warning,"Tiêu đề công việc chứa từ ngữ hối thúc, thiếu tên công ty."
68876505,4,positive,positive,positive,not_mentioned,negative,warning,Chưa đề cập đến mức lương trong tin tuyển dụng.
64247494,4,negative,negative,not_mentioned,neutral,positive,warning,Đề cập đến tiền lương trong tiêu đề.
68865863,4,positive,positive,positive,not_mentioned,negative,warning,"Các quyền lợi về BHYT,BHXH,BHTN không cần đề cập đến. Khoảng lương khai báo không trùng với thông tin lương được đề cập trong tin tuyển dụng."
68882787,4,positive,positive,positive,not_mentioned,positive,clean,"Thông tin đầy đủ, người đăng tin được xác thực."
68274290,4,negative,negative,positive,neutral,positive,warning,"Các quyền lợi về BHYT,BHXH không cần đề cập. Lương thưởng tháng thứ 13 cần thỏa thuận, đề cập trong hợp đồng lao động. Tiêu đề chứa từ ngữ hối thúc."
68834280,4,positive,negative,positive,not_mentioned,positive,seeding,"Các quyền lợi về BHYT,BHXH,BHTN không cần đề cập. Quyền lợi du lịch cần đề cập trong hợp đồng lao động."
68892297,4,positive,positive,positive,not_mentioned,positive,clean,"Thông tin đầy đủ, người đăng tin được xác thực."
68848703,4,positive,positive,positive,not_mentioned,positive,clean,"Tin tuyển dụng đầy đủ thông tin, các quyền lợi được đề cập."
68475134,4,negative,negative,neutral,neutral,positive,warning,Công ty đã tạm ngừng hoạt động.
68703106,4,negative,negative,neutral,neutral,positive,warning,"Công ty đã tạm ngưng hoạt động, tiêu đề chứa từ ngữ hối thúc."
68823448,4,positive,positive,positive,not_mentioned,positive,warning,Mức lương cao so với mặt bằng chung có thể là vì chưa nêu rõ thời gian làm việc. Công ty được xác thực.
